DEBUG 2019-07-18 11:42:25,171 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Set' table...
DEBUG 2019-07-18 11:42:25,233 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Set' table.
DEBUG 2019-07-18 11:42:25,234 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Hash' table...
DEBUG 2019-07-18 11:42:25,305 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Hash' table.
DEBUG 2019-07-18 11:47:18,191 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 11:47:18,211 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 11:52:18,212 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 11:52:18,239 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 11:57:18,240 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 11:57:18,261 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:02:18,262 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:02:18,290 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:07:18,290 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:07:18,317 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:12:18,317 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:12:18,340 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:12:25,306 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'AggregatedCounter' table...
DEBUG 2019-07-18 12:12:25,379 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'AggregatedCounter' table.
DEBUG 2019-07-18 12:12:25,379 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Job' table...
DEBUG 2019-07-18 12:12:25,449 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Job' table.
DEBUG 2019-07-18 12:12:25,449 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'List' table...
DEBUG 2019-07-18 12:12:25,519 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'List' table.
DEBUG 2019-07-18 12:12:25,519 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Set' table...
DEBUG 2019-07-18 12:12:25,595 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Set' table.
DEBUG 2019-07-18 12:12:25,596 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Hash' table...
DEBUG 2019-07-18 12:12:25,664 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Hash' table.
DEBUG 2019-07-18 12:17:18,340 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:17:18,372 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:22:18,374 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:22:18,418 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:27:18,420 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:27:18,446 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:32:18,447 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:32:18,476 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:37:18,476 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:37:18,497 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:42:18,499 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:42:18,538 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:42:25,665 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'AggregatedCounter' table...
DEBUG 2019-07-18 12:42:25,744 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'AggregatedCounter' table.
DEBUG 2019-07-18 12:42:25,744 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Job' table...
DEBUG 2019-07-18 12:42:25,827 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Job' table.
DEBUG 2019-07-18 12:42:25,827 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'List' table...
DEBUG 2019-07-18 12:42:25,896 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'List' table.
DEBUG 2019-07-18 12:42:25,896 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Set' table...
DEBUG 2019-07-18 12:42:25,988 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Set' table.
DEBUG 2019-07-18 12:42:25,989 [nager] Hangfire.SqlServer.ExpirationManager     - Removing outdated records from the 'Hash' table...
DEBUG 2019-07-18 12:42:26,070 [nager] Hangfire.SqlServer.ExpirationManager     - Outdated records removed from the 'Hash' table.
DEBUG 2019-07-18 12:47:18,539 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:47:18,563 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:52:18,564 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
DEBUG 2019-07-18 12:52:18,597 [gator] Hangfire.SqlServer.CountersAggregator    - Records from the 'Counter' table aggregated.
DEBUG 2019-07-18 12:57:18,601 [gator] Hangfire.SqlServer.CountersAggregator    - Aggregating records in 'Counter' table...
